date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
05.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Karacabey Belediyespor,Beylerbeyi SK,1.75,3.39,4.24,2.14,1.66,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/karacabey-belediyespor-beylerbeyi-sk-K0yhPHiD/,0,8,1
26.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Bayburt,Kizilcaboluk Spor Kulubu,2.32,3.02,2.92,2.42,1.52,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/bayburt-ozel-idare-kizilcabolukspor-Am92E0we/,1,5,1
14.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Corum,Kizilcaboluk Spor Kulubu,1.69,3.82,4.02,1.67,2.11,1.57,2.25,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/corum-fk-kizilcabolukspor-Yy1Pf9sb/,0,0,0
19.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Golcukspor,Cizrespor,1.57,3.45,5.65,2.18,1.64,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/golcukspor-cizrespor-zmSuv5qh/,1,3,1
19.02.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Ankara Demirspor,Kozan,1.6,3.46,5.01,2.07,1.67,2.0,1.73,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/ankara-demirspor-kozanspor-GW4lrHu2/,1,4,1
26.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,FK Vanspor,24 Erzincanspor,2.12,3.09,3.24,2.37,1.54,2.0,1.73,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/fk-vanspor-24erzincanspor-UT1VFhc2/,1,3,1
01.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kizilcaboluk Spor Kulubu,Kocaelispor,2.54,3.32,2.43,2.17,1.64,1.73,2.0,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kizilcabolukspor-kocaelispor-fyq6YLUQ/,2,6,1
05.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Altay,Corum,1.76,3.34,4.26,2.15,1.65,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/altay-corum-fk-tAxlQcx7/,1,3,1
26.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Manavgatspor,Beylerbeyi SK,2.55,3.15,2.54,2.28,1.59,1.91,1.8,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/manavgatspor-beylerbeyi-sk-tSVJMOVE/,1,5,1
10.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Beylerbeyi SK,Cizrespor,2.12,3.2,3.14,1.92,1.83,1.67,2.1,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/beylerbeyi-sk-cizrespor-U7ULD8Vn/,1,1,0
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Ankara Demirspor,Beylerbeyi SK,1.45,3.98,6.18,2.04,1.73,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/ankara-demirspor-beylerbeyi-sk-OU7fcmo6/,1,5,1
05.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Bayburt,Sancaktepe,2.59,3.29,2.47,2.07,1.70,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/bayburt-ozel-idare-sancaktepe-nmaFtJMm/,0,0,0
26.02.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kocaelispor,Karacabey Belediyespor,1.39,4.42,6.05,1.80,2.00,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kocaelispor-karacabey-belediyespor-O6P76iOJ/,0,2,1
15.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Manavgatspor,Kozan,2.6,3.05,2.54,2.10,1.70,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/manavgatspor-kozanspor-O8bNLNTN/,2,1,0
10.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,24 Erzincanspor,Ankara Demirspor,2.45,3.22,2.57,2.20,1.63,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/24erzincanspor-ankara-demirspor-xvLt9ppI/,2,1,0
05.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kartalspor,Kizilcaboluk Spor Kulubu,1.95,3.32,3.55,2.37,1.54,2.0,1.73,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kartalspor-kizilcabolukspor-QwbJuwxf/,2,3,0
01.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Beylerbeyi SK,Kutahyaspor,2.21,3.23,2.91,1.92,1.83,1.67,2.1,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/beylerbeyi-sk-kutahyaspor-YLfczr0E/,1,4,0
10.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kartalspor,Bayburt,2.13,3.19,3.09,2.08,1.69,1.73,2.0,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kartalspor-bayburt-ozel-idare-bmMxAQUB/,1,1,0
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Karacabey Belediyespor,Kartalspor,2.0,3.16,3.46,2.22,1.61,1.91,1.8,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/karacabey-belediyespor-kartalspor-fe3jbTVa/,1,2,0
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,FK Vanspor,Kizilcaboluk Spor Kulubu,2.12,3.02,3.31,2.23,1.61,1.91,1.8,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/fk-vanspor-kizilcabolukspor-CWZGElGt/,2,1,0
26.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kocaelispor,Corum,1.8,3.06,4.57,2.20,1.63,2.0,1.73,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kocaelispor-corum-fk-Y1SBOp12/,2,2,0
19.02.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Golcukspor,Beylerbeyi SK,1.48,3.64,6.14,2.07,1.67,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/golcukspor-beylerbeyi-sk-tECyoJeq/,1,3,1
26.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kartalspor,Altay,4.6,3.25,1.73,1.97,1.79,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kartalspor-altay-KIUNLroL/,2,1,0
13.11.2016,2016,turkey,tff-3-lig-group-1-2016-2017,Corum,Kocaelispor,2.09,3.29,3.0,1.52,2.41,1.67,2.1,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/golcukspor-kutahyaspor-UVfzxeyJ/,2,5,1
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Bayburt,Kocaelispor,2.42,3.03,2.77,2.23,1.61,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/bayburt-ozel-idare-kocaelispor-ppd3eRFI/,2,2,0
05.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kocaelispor,Kozan,1.77,3.38,4.08,1.98,1.78,2.0,1.73,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kocaelispor-kozanspor-z9JvmLqK/,0,0,0
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Manavgatspor,Corum,3.63,3.23,1.92,2.04,1.73,1.8,1.91,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/manavgatspor-corum-fk-G44na9Gg/,2,1,0
05.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kutahyaspor,24 Erzincanspor,2.34,3.29,2.72,1.78,1.98,1.57,2.25,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kutahyaspor-24erzincanspor-nmwpRwN0/,2,4,0
05.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Manavgatspor,Golcukspor,3.46,3.44,1.9,1.88,1.88,1.67,2.1,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/manavgatspor-golcukspor-dIKzl1UD/,2,3,1
01.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Golcukspor,FK Vanspor,1.62,3.63,4.47,2.25,1.60,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/golcukspor-fk-vanspor-YqZuSJ7f/,0,0,0
15.02.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kocaelispor,Manavgatspor,1.34,4.28,7.89,1.89,1.81,2.1,1.67,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kocaelispor-manavgatspor-AVL5juYL/,1,1,0
15.02.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Beylerbeyi SK,24 Erzincanspor,3.0,3.01,2.28,2.19,1.60,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/beylerbeyi-sk-24erzincanspor-lGXdh139/,0,6,1
14.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Altay,Kozan,1.42,4.32,5.93,1.63,2.20,1.67,2.1,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/altay-kozanspor-2as6kE5I/,2,6,1
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kutahyaspor,Altay,4.26,3.48,1.71,1.97,1.75,1.8,1.91,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kutahyaspor-altay-2L6bd70C/,0,2,1
14.04.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kartalspor,Sancaktepe,5.78,4.51,1.41,1.64,2.19,1.8,1.91,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kartalspor-sancaktepe-vF1LekSi/,1,3,1
26.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Karacabey Belediyespor,Kozan,2.11,3.03,3.34,1.79,1.97,1.62,2.2,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/karacabey-belediyespor-kozanspor-xzBfGM8r/,0,2,1
26.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Kutahyaspor,Sancaktepe,5.06,3.23,1.67,2.08,1.69,2.0,1.73,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/kutahyaspor-sancaktepe-WdAbFtOl/,0,2,1
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Tekirdagspor,24 Erzincanspor,2.61,2.93,2.65,2.23,1.61,1.83,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/tekirdagspor-24erzincanspor-YuFs0k1m/,2,3,1
19.02.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Karacabey Belediyespor,Bayburt,2.51,3.0,2.62,2.01,1.72,1.73,2.0,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/karacabey-belediyespor-bayburt-ozel-idare-tAdz6KX8/,2,4,1
05.03.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Cizrespor,Sancaktepe,3.66,3.23,1.92,2.04,1.73,1.8,1.91,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/cizrespor-sancaktepe-ANmkJU7P/,2,3,0
25.02.2017,2017,turkey,tff-3-lig-group-1-2016-2017,Altay,Manavgatspor,1.18,6.5,9.7,1.65,2.21,2.75,1.4,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2016-2017/altay-manavgatspor-jm2LpA10/,1,5,1
20.03.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Dardanelspor,Yomraspor,2.24,3.35,2.87,2.12,1.65,1.93,1.83,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/dardanelspor-yomraspor-bV0HtvP2/,2,1,0
03.02.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Catalca,Yomraspor,2.26,2.98,3.2,3.28,1.27,2.65,1.42,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/catalca-spor-yomraspor-EVC3LaID/,2,1,0
22.04.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Catalca,Kozan,2.16,3.34,3.02,2.07,1.68,1.83,1.94,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/catalca-spor-kozanspor-d62lhmoT/,0,2,1
25.03.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Kemerspor 2003,Dardanelspor,1.49,4.07,6.04,1.57,2.29,1.62,2.15,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/kemerspor-2003-dardanelspor-YmFagH88/,1,4,1
25.03.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Bayrampasa,Ofspor,1.85,3.55,3.67,1.96,1.78,1.81,1.9,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/bayrampasa-ofspor-pSY4XZok/,2,3,1
05.05.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Duzcespor,Erbaaspor,1.54,3.72,5.62,1.91,1.81,1.92,1.8,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/duzcespor-erbaaspor-tb22a4hd/,1,1,0
25.03.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Manisa FK,Bayburt,1.84,3.36,3.95,1.96,1.78,1.78,1.93,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/manisa-fk-bayburt-ozel-idare-WryHUXV7/,1,1,0
22.04.2018,2018,turkey,tff-3-lig-group-1-2017-2018,Duzcespor,Altindag Bld.,1.91,3.5,3.51,1.86,1.87,1.69,2.03,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/duzcespor-altindag-belediyespor-WbHOciHi/,0,0,0
09.12.2017,2017,turkey,tff-3-lig-group-1-2017-2018,Orhangazispor,Halide E.,3.83,3.07,1.97,2.15,1.63,1.89,1.82,https://www.oddsportal.com/soccer/turkey/tff-3-lig-group-1-2017-2018/orhangazispor-halide-edip-ptxbmF6U/,2,1,0
